repo_name,sha_ids
ome/bioformats,80bb45a0919ae550f2fe65e8dc4f6066aa5ee953;b477bc4912441e3842776fc633fbaaeb2a085bb7;0e039b1f9e90a754f74289bad7f4790d8cbac499
apache/commons-compress,a428e428df2766f1d1b2b793b3f812344fa61fdc;03239b0ea42312c7b5daf4520c1ce1caaf6189fd;7145b4a3d1fd2385f59595b890327a6c451188a7;8167612318222224fc0bc8407dfed18ca1224c5f;fd648e2fd39f6f7d607b974fa73c405c9357d537;7e06782f1dabae328d0307c626e479989310fcab
apache/commons-fileupload,226be7ac79723eefe11fce04d1035a97de0f150b;e0b0705d2a24ff45a32d5e38c706865b38662715;b6a633238ee4a0306aa1dde54e542b43fa5c50b5;d893364a9d4ed1199007477e68d107950ea15c3b;8528b108c4b709cf4d16899f65ac239f30391268;419a7907c75172cf1de558417f632bc0cbdbf1ab;7366e891a003c2c5031a434308c9447020915a9c;3678325895eec1edfc4fac22058734dd57741855;d32cf6266d44c742cbec26ba467d3cbe891db533
apache/directmemory,7be1c4204f26475542c9509a966215cfb8727d5e
alibaba/fastjson,cbd625b77439c772560754f0dba7f8ea7cfa06a1
geotools/geotools,e6fb6f32503822d01a0960d5d3fdb0e5df02c2ce
aokp/frameworks_base_disabled,3f3913550c10792edb8aecf66cc83c3db5c8b311;7bdb096289d10983f6fe711ecd598e350c9a9587;7c12eee6439435d7f29d49cab76edaedbd809460;8068618ebed021c445db0919843cdb6b9b9e35b5;ed7e00729f78d11107f0e9a7f0559dfe4be6b560
azure/azure-sdk-for-java,3098d0ea51bd919cd205b15960966d9482f64443;56ee9d7c5e58ab2f42831cead6e3c166020e40d8;fdfdaed8b2e64e17a38d308edbe914a986ccbebb;8a01cb7ea28451e772d6868a80fe49e3706c952e;320b582fae42222a9d06e07ae07abe8ed56d6937
marytts/marytts,9aa2a147fe96bda95dbdc043413d148e6414be41;73c476ee8f734d084b78ebdfba39987faf3e71d8
yasserg/crawler4j,f65b4a2bd20c16852f0f41e07ba240f0b3d1e4e5;9ff61ee7f183c012b4b4e0375bdfd7368f889106;981712c94627e79bdd61ebc023718e13f013b9d4
mcmmo-dev/mcmmo,f4b6d7845e3c84e3c5c1378ca74583dd205a89d2
minecraftforge/minecraftforge,d86f58a0df1e8fda0303fa8250ef7cb0a8f8807d;cb4a073f5d86705b390ac1578e6cd1dae3525672;53659fca065a600470734d81a168fbdde6ec631a
