Name,FullName,URL,Stars,Commits
springboot-learning-example,JeffLi1993/springboot-learning-example,https://github.com/JeffLi1993/springboot-learning-example,15922,407
elasticsearch-analysis-ik,medcl/elasticsearch-analysis-ik,https://github.com/medcl/elasticsearch-analysis-ik,15890,7527
material-components-android,material-components/material-components-android,https://github.com/material-components/material-components-android,15752,150004
JustAuth,justauth/JustAuth,https://github.com/justauth/JustAuth,15739,9554
mybatis-plus,baomidou/mybatis-plus,https://github.com/baomidou/mybatis-plus,15526,22690
SpringBoot-Learning,dyc87112/SpringBoot-Learning,https://github.com/dyc87112/SpringBoot-Learning,15514,34384
Android-CleanArchitecture,android10/Android-CleanArchitecture,https://github.com/android10/Android-CleanArchitecture,15428,5191
presto,prestodb/presto,https://github.com/prestodb/presto,15420,202953
Grasscutter,Grasscutters/Grasscutter,https://github.com/Grasscutters/Grasscutter,15332,96193
thingsboard,thingsboard/thingsboard,https://github.com/thingsboard/thingsboard,15151,240439
SmartTube,yuliskov/SmartTube,https://github.com/yuliskov/SmartTube,15075,87596
BigData-Notes,heibaiying/BigData-Notes,https://github.com/heibaiying/BigData-Notes,14987,24052
VirtualXposed,android-hacker/VirtualXposed,https://github.com/android-hacker/VirtualXposed,14919,49794
caffeine,ben-manes/caffeine,https://github.com/ben-manes/caffeine,14898,106491
DataX,alibaba/DataX,https://github.com/alibaba/DataX,14815,22774
Sa-Token,dromara/Sa-Token,https://github.com/dromara/Sa-Token,14810,6021
yudao-cloud,YunaiV/yudao-cloud,https://github.com/YunaiV/yudao-cloud,14776,37211
DSA-Bootcamp-Java,kunal-kushwaha/DSA-Bootcamp-Java,https://github.com/kunal-kushwaha/DSA-Bootcamp-Java,14769,101637
LSPosed,LSPosed/LSPosed,https://github.com/LSPosed/LSPosed,14735,22135
CircleImageView,hdodenhof/CircleImageView,https://github.com/hdodenhof/CircleImageView,14504,1003
dataease,dataease/dataease,https://github.com/dataease/dataease,14487,269717
mockito,mockito/mockito,https://github.com/mockito/mockito,14442,48882
ARouter,alibaba/ARouter,https://github.com/alibaba/ARouter,14343,26589
QMUI_Android,Tencent/QMUI_Android,https://github.com/Tencent/QMUI_Android,14284,21946
bytecode-viewer,Konloch/bytecode-viewer,https://github.com/Konloch/bytecode-viewer,14205,647957
hadoop,apache/hadoop,https://github.com/apache/hadoop,14148,2787388
flink-learning,zhisheng17/flink-learning,https://github.com/zhisheng17/flink-learning,14101,43605
vert.x,eclipse-vertx/vert.x,https://github.com/eclipse-vertx/vert.x,13946,115092
Arduino,arduino/Arduino,https://github.com/arduino/Arduino,13932,1387854
logstash,elastic/logstash,https://github.com/elastic/logstash,13907,126638
source-code-hunter,doocs/source-code-hunter,https://github.com/doocs/source-code-hunter,13883,70368
QtScrcpy,barry-ran/QtScrcpy,https://github.com/barry-ran/QtScrcpy,13831,42263
logger,orhanobut/logger,https://github.com/orhanobut/logger,13722,1873
pulsar,apache/pulsar,https://github.com/apache/pulsar,13558,204206
Material-Animations,lgvalle/Material-Animations,https://github.com/lgvalle/Material-Animations,13540,8692
Luban,Curzibn/Luban,https://github.com/Curzibn/Luban,13455,5029
tink,tink-crypto/tink,https://github.com/tink-crypto/tink,13427,58337
Android-PickerView,Bigkoo/Android-PickerView,https://github.com/Bigkoo/Android-PickerView,13383,6389
deeplearning4j,deeplearning4j/deeplearning4j,https://github.com/deeplearning4j/deeplearning4j,13345,748684
spring-analysis,seaswalker/spring-analysis,https://github.com/seaswalker/spring-analysis,13297,4951
jd-gui,java-decompiler/jd-gui,https://github.com/java-decompiler/jd-gui,13281,56989
jib,GoogleContainerTools/jib,https://github.com/GoogleContainerTools/jib,13253,16607
AndroidAutoSize,JessYanCoding/AndroidAutoSize,https://github.com/JessYanCoding/AndroidAutoSize,13238,3131
questdb,questdb/questdb,https://github.com/questdb/questdb,13228,473728
pinpoint,pinpoint-apm/pinpoint,https://github.com/pinpoint-apm/pinpoint,13130,252151
druid,apache/druid,https://github.com/apache/druid,13098,335316
zuul,Netflix/zuul,https://github.com/Netflix/zuul,13087,5594
PictureSelector,LuckSiege/PictureSelector,https://github.com/LuckSiege/PictureSelector,12955,542078
conductor,Netflix/conductor,https://github.com/Netflix/conductor,12946,29469
tech-interview-for-developer,gyoogle/tech-interview-for-developer,https://github.com/gyoogle/tech-interview-for-developer,12921,6723
quarkus,quarkusio/quarkus,https://github.com/quarkusio/quarkus,12859,291785
piggymetrics,sqshq/piggymetrics,https://github.com/sqshq/piggymetrics,12846,1512
stetho,facebookarchive/stetho,https://github.com/facebookarchive/stetho,12661,2353
banner,youth5201314/banner,https://github.com/youth5201314/banner,12643,11310
greenDAO,greenrobot/greenDAO,https://github.com/greenrobot/greenDAO,12602,7353
mall-learning,macrozheng/mall-learning,https://github.com/macrozheng/mall-learning,12571,39397
lombok,projectlombok/lombok,https://github.com/projectlombok/lombok,12482,80511
Matisse,zhihu/Matisse,https://github.com/zhihu/Matisse,12471,1991
AndroidViewAnimations,daimajia/AndroidViewAnimations,https://github.com/daimajia/AndroidViewAnimations,12372,297
AndroidSwipeLayout,daimajia/AndroidSwipeLayout,https://github.com/daimajia/AndroidSwipeLayout,12339,399
onedev,theonedev/onedev,https://github.com/theonedev/onedev,12336,209302
guice,google/guice,https://github.com/google/guice,12298,122374
neo4j,neo4j/neo4j,https://github.com/neo4j/neo4j,12240,614323
eureka,Netflix/eureka,https://github.com/Netflix/eureka,12130,12494
mit-deep-learning-book-pdf,janishar/mit-deep-learning-book-pdf,https://github.com/janishar/mit-deep-learning-book-pdf,12126,43571
spring-boot-admin,codecentric/spring-boot-admin,https://github.com/codecentric/spring-boot-admin,12085,57469
Mybatis-PageHelper,pagehelper/Mybatis-PageHelper,https://github.com/pagehelper/Mybatis-PageHelper,11993,5240
Java,DuGuQiuBai/Java,https://github.com/DuGuQiuBai/Java,11960,24346
zookeeper,apache/zookeeper,https://github.com/apache/zookeeper,11803,144421
VasSonic,Tencent/VasSonic,https://github.com/Tencent/VasSonic,11767,16215
zaproxy,zaproxy/zaproxy,https://github.com/zaproxy/zaproxy,11734,196750
uCrop,Yalantis/uCrop,https://github.com/Yalantis/uCrop,11705,62540
dolphinscheduler,apache/dolphinscheduler,https://github.com/apache/dolphinscheduler,11661,206460
dex2jar,pxb1988/dex2jar,https://github.com/pxb1988/dex2jar,11649,8725
jedis,redis/jedis,https://github.com/redis/jedis,11499,12919
Chat2DB,chat2db/Chat2DB,https://github.com/chat2db/Chat2DB,11447,17636
realm-java,realm/realm-java,https://github.com/realm/realm-java,11425,66214
fullstack-tutorial,frank-lam/fullstack-tutorial,https://github.com/frank-lam/fullstack-tutorial,11396,65725
matrix,Tencent/matrix,https://github.com/Tencent/matrix,11310,199709
PermissionsDispatcher,permissions-dispatcher/PermissionsDispatcher,https://github.com/permissions-dispatcher/PermissionsDispatcher,11193,3009
mall-swarm,macrozheng/mall-swarm,https://github.com/macrozheng/mall-swarm,11122,53774
webmagic,code4craft/webmagic,https://github.com/code4craft/webmagic,11101,17291
SlidingMenu,jfeinstein10/SlidingMenu,https://github.com/jfeinstein10/SlidingMenu,11101,32085
androidannotations,androidannotations/androidannotations,https://github.com/androidannotations/androidannotations,11089,22510
ImmersionBar,gyf-dev/ImmersionBar,https://github.com/gyf-dev/ImmersionBar,11076,325009
CtCI-6th-Edition,careercup/CtCI-6th-Edition,https://github.com/careercup/CtCI-6th-Edition,11066,21487
toBeBetterJavaer,itwanger/toBeBetterJavaer,https://github.com/itwanger/toBeBetterJavaer,11030,1997139
grpc-java,grpc/grpc-java,https://github.com/grpc/grpc-java,11030,85907
